project_id,sector,component_name,weight_pct,completion_pct,detected_status,data_status
SYN-PRJ-00001,ROAD,Land Preparation & Clearing,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00001,ROAD,Earthwork & Subgrade Compaction,20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00001,ROAD,Granular Subbase (GSB),20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00001,ROAD,Wet Mix Macadam (WBM) Base,20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00001,ROAD,Dense Bituminous Macadam (Asphalt),15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00001,ROAD,"Road Markings, Signs & Berms",10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00002,BUILDING,Foundation & Substructure,20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00002,BUILDING,RCC Columns,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00002,BUILDING,Beams & Framing,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00002,BUILDING,Brickwork & Walls,15.0,84.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00002,BUILDING,RCC Roof Slab,15.0,0.0,NOT_STARTED,SYNTHETIC
SYN-PRJ-00002,BUILDING,Windows & Joinery,5.0,0.0,NOT_STARTED,SYNTHETIC
SYN-PRJ-00002,BUILDING,Doors & Shutters,5.0,0.0,NOT_STARTED,SYNTHETIC
SYN-PRJ-00002,BUILDING,Internal Services (Electrical & Plumbing),5.0,0.0,NOT_STARTED,SYNTHETIC
SYN-PRJ-00002,BUILDING,Surface Finishing & Painting,5.0,0.0,NOT_STARTED,SYNTHETIC
SYN-PRJ-00003,BRIDGE,Substructure Foundation & Piling,30.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00003,BRIDGE,"Pillars, Piers & Abutments",25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00003,BRIDGE,Girders & Deck Slab,25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00003,BRIDGE,Crash Barriers & Railings,10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00003,BRIDGE,Wearing Coat & Approach Finishing,10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00004,ROAD,Land Preparation & Clearing,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00004,ROAD,Earthwork & Subgrade Compaction,20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00004,ROAD,Granular Subbase (GSB),20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00004,ROAD,Wet Mix Macadam (WBM) Base,20.0,87.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00004,ROAD,Dense Bituminous Macadam (Asphalt),15.0,0.0,NOT_STARTED,SYNTHETIC
SYN-PRJ-00004,ROAD,"Road Markings, Signs & Berms",10.0,0.0,NOT_STARTED,SYNTHETIC
SYN-PRJ-00005,WATER_TANK,Foundation Raft & Footing,25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00005,WATER_TANK,Staging & RCC Support Columns,25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00005,WATER_TANK,Tank Body Container & Dome,30.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00005,WATER_TANK,Inlet/Outlet Pipelines & Valves,10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00005,WATER_TANK,Surface Finishing & Waterproofing,10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00006,ROAD,Land Preparation & Clearing,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00006,ROAD,Earthwork & Subgrade Compaction,20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00006,ROAD,Granular Subbase (GSB),20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00006,ROAD,Wet Mix Macadam (WBM) Base,20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00006,ROAD,Dense Bituminous Macadam (Asphalt),15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00006,ROAD,"Road Markings, Signs & Berms",10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,Foundation & Substructure,20.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,RCC Columns,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,Beams & Framing,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,Brickwork & Walls,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,RCC Roof Slab,15.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,Windows & Joinery,5.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,Doors & Shutters,5.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,Internal Services (Electrical & Plumbing),5.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,BUILDING,Surface Finishing & Painting,5.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00008,WATER_TANK,Foundation Raft & Footing,25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00008,WATER_TANK,Staging & RCC Support Columns,25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00008,WATER_TANK,Tank Body Container & Dome,30.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00008,WATER_TANK,Inlet/Outlet Pipelines & Valves,10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00008,WATER_TANK,Surface Finishing & Waterproofing,10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00009,BRIDGE,Substructure Foundation & Piling,30.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00009,BRIDGE,"Pillars, Piers & Abutments",25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00009,BRIDGE,Girders & Deck Slab,25.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00009,BRIDGE,Crash Barriers & Railings,10.0,100.0,COMPLETED,SYNTHETIC
SYN-PRJ-00009,BRIDGE,Wearing Coat & Approach Finishing,10.0,100.0,COMPLETED,SYNTHETIC
